Latitude,Longitude,valid_hours,total_hours,valid_ratio,year,avg_z0
48.2008,16.8784,3211.0,8748,0.36705532693187015,2010,0.04870801419019699
47.426,15.5857,2868.0,8748,0.3278463648834019,2010,2.7322535514831543
48.3566,16.7232,3230.0,8748,0.3692272519433013,2010,0.04735475778579712
48.0377,16.999,3316.0,8748,0.3790580704160951,2010,0.04908151179552078
48.0143,16.9833,3316.0,8748,0.3790580704160951,2010,0.04908151179552078
48.626,16.6864,2970.0,8748,0.3395061728395062,2010,0.046755850315093994
48.2541,16.6722,3319.0,8748,0.37940100594421583,2010,0.0492917001247406
47.9287,16.9413,3586.0,8748,0.4099222679469593,2010,0.04908151179552078
47.9394,16.9564,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
48.5161,15.1789,5634.0,8748,0.6440329218106996,2010,2.837049961090088
48.334,16.5649,3406.0,8748,0.3893461362597165,2010,0.04735475778579712
48.2494,16.6021,3506.0,8748,0.40077732053040693,2010,0.0492917001247406
48.5171,16.7919,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.6523,16.7565,2880.0,8748,0.3292181069958848,2010,0.046755850315093994
48.0533,16.8101,3487.0,8748,0.3986053955189758,2010,0.04908151179552078
48.6392,16.7689,2928.0,8748,0.3347050754458162,2010,0.04773830622434616
48.1781,15.4437,5072.0,8748,0.5797896662094193,2010,2.489795446395874
47.8393,17.0164,3362.0,8748,0.3843164151806127,2010,0.048046112060546875
47.8323,17.0456,3362.0,8748,0.3843164151806127,2010,0.048046112060546875
47.8976,17.0293,3466.0,8748,0.39620484682213075,2010,0.048046112060546875
47.8484,17.0157,3362.0,8748,0.3843164151806127,2010,0.048046112060546875
46.8512,15.014,1477.0,8748,0.16883859167809784,2010,2.6914756298065186
47.9195,17.0032,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
47.5031,15.8568,3409.0,8748,0.38968907178783724,2010,2.8108432292938232
47.4889,15.5777,2825.0,8748,0.322930955647005,2010,2.7322535514831543
47.9613,16.5588,3372.0,8748,0.38545953360768176,2010,0.05108731612563133
48.0743,16.8225,3484.0,8748,0.3982624599908551,2010,0.04870801419019699
48.0554,16.7808,3487.0,8748,0.3986053955189758,2010,0.04908151179552078
48.4631,16.6852,3135.0,8748,0.35836762688614543,2010,0.04735475778579712
48.4492,16.677,3230.0,8748,0.3692272519433013,2010,0.04735475778579712
48.2743,15.6631,5263.0,8748,0.6016232281664381,2010,2.2593116760253906
48.0892,16.893,3314.0,8748,0.3788294467306813,2010,0.04870801419019699
48.0907,16.8798,3314.0,8748,0.3788294467306813,2010,0.04870801419019699
48.8022,15.5807,6355.0,8748,0.7264517604023777,2010,2.429508924484253
48.5419,16.6327,3220.0,8748,0.36808413351623226,2010,0.04735475778579712
48.5423,16.6314,3220.0,8748,0.36808413351623226,2010,0.04735475778579712
48.071,17.0464,3161.0,8748,0.3613397347965249,2010,0.05054623261094093
48.0723,17.0478,3161.0,8748,0.3613397347965249,2010,0.05054623261094093
48.5043,16.4442,3339.0,8748,0.3816872427983539,2010,0.05019074305891991
48.5043,16.4442,3339.0,8748,0.3816872427983539,2010,0.05019074305891991
48.5165,16.4836,3335.0,8748,0.3812299954275263,2010,0.05019074305891991
48.4972,16.7865,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
48.2308,16.7205,3451.0,8748,0.3944901691815272,2010,0.0492917001247406
48.2674,16.6636,3319.0,8748,0.37940100594421583,2010,0.0492917001247406
48.4427,16.6402,3293.0,8748,0.3764288980338363,2010,0.04735475778579712
48.4294,16.666,3230.0,8748,0.3692272519433013,2010,0.04735475778579712
48.5505,16.7088,2992.0,8748,0.3420210333790581,2010,0.04735475778579712
47.9,16.967,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
47.9102,16.9727,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
47.9172,17.0234,3466.0,8748,0.39620484682213075,2010,0.048046112060546875
47.9008,16.9617,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
47.5657,15.7407,3383.0,8748,0.3867169638774577,2010,2.7322535514831543
48.055,13.229,4221.0,8748,0.4825102880658436,2010,2.529484510421753
48.0272,16.9116,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
48.0254,16.8965,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
48.0395,16.8935,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
48.054,16.8752,3317.0,8748,0.379172382258802,2010,0.04908151179552078
47.9637,16.8922,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
47.9174,17.0417,3466.0,8748,0.39620484682213075,2010,0.048046112060546875
47.5525,16.6867,3270.0,8748,0.3737997256515775,2010,0.08974696695804596
48.2919,16.6986,3319.0,8748,0.37940100594421583,2010,0.0492917001247406
48.267,16.667,3319.0,8748,0.37940100594421583,2010,0.0492917001247406
47.958,16.3622,3175.0,8748,0.36294010059442156,2010,0.04623374342918396
48.5263,16.5949,3220.0,8748,0.36808413351623226,2010,0.04735475778579712
48.5306,16.5838,3220.0,8748,0.36808413351623226,2010,0.04735475778579712
48.5907,16.8167,2928.0,8748,0.3347050754458162,2010,0.04773830622434616
48.0589,17.0104,3139.0,8748,0.358824874256973,2010,0.04908151179552078
48.2906,16.5793,3405.0,8748,0.3892318244170096,2010,0.0492917001247406
47.9878,16.8967,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
47.9717,16.8937,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
48.095,16.845,3484.0,8748,0.3982624599908551,2010,0.04870801419019699
48.0874,16.8374,3484.0,8748,0.3982624599908551,2010,0.04870801419019699
48.3475,16.5143,3470.0,8748,0.3966620941929584,2010,0.04735475778579712
48.3305,16.5367,3470.0,8748,0.3966620941929584,2010,0.04735475778579712
48.2549,15.7274,5263.0,8748,0.6016232281664381,2010,2.2593116760253906
47.9314,16.3673,3036.0,8748,0.34705075445816186,2010,0.04623374342918396
48.0409,16.9146,3454.0,8748,0.39483310470964794,2010,0.04908151179552078
48.6359,16.6199,2985.0,8748,0.34122085048010975,2010,0.046755850315093994
48.6359,16.6199,2985.0,8748,0.34122085048010975,2010,0.046755850315093994
48.6185,16.6246,2985.0,8748,0.34122085048010975,2010,0.046755850315093994
48.0678,16.9832,3139.0,8748,0.358824874256973,2010,0.04870801419019699
48.061,16.9881,3139.0,8748,0.358824874256973,2010,0.04908151179552078
47.5549,15.7534,3589.0,8748,0.41026520347508,2010,2.7322535514831543
48.5696,16.7226,2970.0,8748,0.3395061728395062,2010,0.046755850315093994
48.5793,16.7402,2970.0,8748,0.3395061728395062,2010,0.046755850315093994
48.4034,16.7593,3111.0,8748,0.3556241426611797,2010,0.04735475778579712
48.081,16.8455,3484.0,8748,0.3982624599908551,2010,0.04870801419019699
48.467,15.2318,5634.0,8748,0.6440329218106996,2010,2.837049961090088
48.085,16.8389,3484.0,8748,0.3982624599908551,2010,0.04870801419019699
48.1979,15.7624,2165.0,8748,0.2474851394604481,2010,0.056025564670562744
47.9546,16.4948,3285.0,8748,0.37551440329218105,2010,0.04623374342918396
47.9221,16.97,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
48.0013,16.691,3488.0,8748,0.39871970736168266,2010,0.05108731612563133
48.4401,16.7114,3230.0,8748,0.3692272519433013,2010,0.04735475778579712
48.4488,16.7074,3230.0,8748,0.3692272519433013,2010,0.04735475778579712
47.5084,15.4637,2512.0,8748,0.2871513488797439,2010,2.6477394104003906
46.6799,15.0699,1736.0,8748,0.1984453589391861,2010,2.549879550933838
47.529,15.7133,2988.0,8748,0.34156378600823045,2010,2.7322535514831543
47.5313,15.703,2988.0,8748,0.34156378600823045,2010,2.7322535514831543
48.5817,14.2245,3095.0,8748,0.35379515317786925,2010,1.4071507453918457
47.9448,16.3559,3036.0,8748,0.34705075445816186,2010,0.04623374342918396
47.2754,14.3872,910.0,8748,0.10402377686328304,2010,1.6547698974609375
48.0388,16.6445,3372.0,8748,0.38545953360768176,2010,0.05108731612563133
48.0527,16.6851,3454.0,8748,0.39483310470964794,2010,0.05108731612563133
47.9984,16.3892,3175.0,8748,0.36294010059442156,2010,0.04623374342918396
48.5101,16.7903,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
47.9456,16.9147,3586.0,8748,0.4099222679469593,2010,0.04908151179552078
48.4996,16.7411,3135.0,8748,0.35836762688614543,2010,0.04735475778579712
48.2643,15.6616,5263.0,8748,0.6016232281664381,2010,2.2593116760253906
48.4892,16.7795,3094.0,8748,0.3536808413351623,2010,0.04823625460267067
47.9369,16.991,3463.0,8748,0.39586191129401005,2010,0.04908151179552078
40.7282,49.436,4860.0,8748,0.5555555555555556,2010,0.18400457501411438
21.4347,92.0053,3942.0,8748,0.4506172839506173,2010,0.03
13.2962,300.4028,0.0,8748,0.0,2010,0.03
13.1641,300.5003,8347.0,8748,0.9541609510745314,2010,0.03
50.347,6.2227,7165.0,8748,0.8190443529949702,2010,2.6469407081604004
51.2714,4.2435,3912.0,8748,0.44718792866941015,2010,0.05777416005730629
51.2714,4.2435,3912.0,8748,0.44718792866941015,2010,0.05777416005730629
51.2714,4.2435,3912.0,8748,0.44718792866941015,2010,0.05777416005730629
51.2718,4.3651,3642.0,8748,0.4163237311385459,2010,0.057806383818387985
51.2569,4.4104,3642.0,8748,0.4163237311385459,2010,0.057806383818387985
51.25,4.3998,3519.0,8748,0.4022633744855967,2010,0.057806383818387985
51.2978,5.062,4525.0,8748,0.5172610882487426,2010,0.7732268571853638
